Unnamed: 0,bookId,title,author,series,description,genres,awards,characters,places,isbn,isbn13,language,first_publish_date,publish_date,num_pages,num_ratings,num_reviews,avg_rating,rated_1,rated_2,rated_3,rated_4,rated_5
4249,4255,Harry Potter and the Philosopher's Stone,J.K. Rowling,Harry Potter #1,"When a letter arrives for unhappy but ordinary Harry Potter, a decade-old secret is revealed to him. His parents were wizards, killed by a Dark Lord's curse when Harry was just a baby, and which he somehow survived. Escaping from his unbearable Muggle guardians to Hogwarts, a wizarding school brimming with ghosts and enchantments, Harry stumbles into a sinister adventure w,When a letter arrives for unhappy but ordinary Harry Potter, a decade-old secret is revealed to him. His parents were wizards, killed by a Dark Lord's curse when Harry was just a baby, and which he somehow survived. Escaping from his unbearable Muggle guardians to Hogwarts, a wizarding school brimming with ghosts and enchantments, Harry stumbles into a sinister adventure when he finds a three-headed dog guarding a room on the third floor. Then he hears of a missing stone with astonishing powers which could be valuable, dangerous, or both.,front flap","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Goodreads' Transgender Books page,Goodreads' Transgender Books page,Fantasy,Fiction,Young Adult,Fantasy,Magic,Childrens,Childrens,Middle Grade,Adventure,Classics,Audiobook,Science Fiction Fantasy","Mythopoeic Fantasy Award for Children's Literature 2008,British Book Award for Children's Book of the Year 1998,Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar 2002,American Booksellers Book Of The Year  Award for Children 1999,Audie Award 2000,West Australian Young Readers' Book Award WAYRBA for Younger Readers 2000,South Carolina Book Award for Junior Book Award 2001,Grand Canyon Reader Award for Teen Book 2000,Charlotte Award 2000,Nene Award 2000,Massachusetts Children's Book Award 2000,Colorado Blue Spruce Young Adult Book Award 2001,Blue Hen Book Award for Chapter Book 2001,Nevada Young Readers' Award for Young Reader Category 2000,Golden Archer Award for Middle/Junior High 2000,Indian Paintbrush Book Award 2000,Hotze de Roosprijs 2002,Nestlé Smarties Book Prize for 9–11 years 1997,Eliot Rosewater Indiana High School Book Award 2001,Kinderboekwinkelprijs 1999,Parenting Book of the Year Award 1998,North East Teenage Book Award 1999,Specsavers National Book Award for Children's Book of the Year 1998,Washington State Sasquatch Award 2000,Literaturpreis der Jury der jungen Leser for Kinderbuch 1999,Carnegie Medal Nominee 1997,Rebecca Caudill Young Readers' Book Award 2001,Premi Protagonista Jove for Categoria 12-13 anys 2000","Draco Malfoy,Ron Weasley,Petunia Dursley,Vernon Dursley,Dudley Dursley,Severus Snape,Quirinus Quirrell,Rubeus Hagrid,Lord Voldemort,Minerva McGonagall,Neville Longbottom,Fred Weasley,George Weasley,Percy Weasley,Filius Flitwick,Pomona Sprout,Molly Weasley,Poppy Pomfrey,Oliver Wood,Parvati Patil,Dean Thomas,James Potter,Lily Potter,Seamus Finnigan,Garrick Ollivander,Rolanda Hooch,Katie Bell,Albus Dumbledore,Dedalus Diggle,Harry Potter,Hermione Granger,Lavender Brown","London, England,Hogwarts School of Witchcraft and Wizardry,Hogwarts School of Witchcraft and Wizardry",,,English,June 26th 1997,October 4th 2004,223.0,7437005.0,117859.0,4.48,126396.0,147247.0,627970.0,1694668.0,4840724.0
2,3,Harry Potter and the Sorcerer's Stone,"J.K. Rowling,Mary GrandPré",Harry Potter #1,"Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft,Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry.,After a lifetime of bottling up his magical powers, Harry finally feels like a normal kid. But even within the Wizarding community, he is special. He is the boy who lived: the only person to have ever survived a killing curse inflicted by the evil Lord Voldemort, who launched a brutal takeover of the Wizarding world, only to vanish after failing to kill Harry.,Though Harry's first year at Hogwarts is the best of his life, not everything is perfect. There is a dangerous secret object hidden within the castle walls, and Harry believes it's his responsibility to prevent it from falling into evil hands. But doing so will bring him into contact with forces more terrifying than he ever could have imagined.,Full of sympathetic characters, wildly imaginative situations, and countless exciting details, the first installment in the series assembles an unforgettable magical world and sets the stage for many high-stakes adventures to come.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Goodreads' Transgender Books page,Goodreads' Transgender Books page,Fantasy,Fiction,Young Adult,Fantasy,Magic,Childrens,Childrens,Middle Grade,Adventure,Classics,Audiobook,Science Fiction Fantasy","Mythopoeic Fantasy Award for Children's Literature 2008,British Book Award for Children's Book of the Year 1998,Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar 2002,American Booksellers Book Of The Year  Award for Children 1999,Audie Award 2000,West Australian Young Readers' Book Award WAYRBA for Younger Readers 2000,South Carolina Book Award for Junior Book Award 2001,Grand Canyon Reader Award for Teen Book 2000,Charlotte Award 2000,Nene Award 2000,Massachusetts Children's Book Award 2000,Colorado Blue Spruce Young Adult Book Award 2001,Blue Hen Book Award for Chapter Book 2001,Nevada Young Readers' Award for Young Reader Category 2000,Golden Archer Award for Middle/Junior High 2000,Indian Paintbrush Book Award 2000,Hotze de Roosprijs 2002,Nestlé Smarties Book Prize for 9–11 years 1997,Eliot Rosewater Indiana High School Book Award 2001,Kinderboekwinkelprijs 1999,Parenting Book of the Year Award 1998,North East Teenage Book Award 1999,Specsavers National Book Award for Children's Book of the Year 1998,Washington State Sasquatch Award 2000,Literaturpreis der Jury der jungen Leser for Kinderbuch 1999,Carnegie Medal Nominee 1997,Rebecca Caudill Young Readers' Book Award 2001,Premi Protagonista Jove for Categoria 12-13 anys 2000","Draco Malfoy,Ron Weasley,Petunia Dursley,Vernon Dursley,Dudley Dursley,Severus Snape,Quirinus Quirrell,Rubeus Hagrid,Lord Voldemort,Minerva McGonagall,Neville Longbottom,Fred Weasley,George Weasley,Percy Weasley,Filius Flitwick,Pomona Sprout,Molly Weasley,Poppy Pomfrey,Oliver Wood,Parvati Patil,Dean Thomas,James Potter,Lily Potter,Seamus Finnigan,Garrick Ollivander,Rolanda Hooch,Katie Bell,Albus Dumbledore,Dedalus Diggle,Harry Potter,Hermione Granger,Lavender Brown","London, England,Hogwarts School of Witchcraft and Wizardry,Hogwarts School of Witchcraft and Wizardry",,,English,June 26th 1997,November 1st 2003,309.0,7434783.0,117823.0,4.48,126344.0,147184.0,627803.0,1694206.0,4839246.0
12110,12024,Twilight,Stephenie Meyer,The Twilight Saga #1,"About three things I was absolutely positive.,First, Edward was a vampire.,Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.,And third, I was unconditionally and irrevocably in love with him.,About three things I was absolutely positive.,First, Edward was a vampire.,Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.,And third, I was unconditionally and irrevocably in love with him.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Young Adult,Fantasy,Romance,Fiction,Paranormal,Vampires,Fantasy,Paranormal,Romance,Paranormal Romance,Fantasy,Supernatural,Young Adult,Teen,Fantasy,Urban Fantasy","Georgia Peach Book Award 2007,Buxtehuder Bulle 2006,Kentucky Bluegrass Award for 9-12 2007,Prijs van de Kinder- en Jeugdjury Vlaanderen 2008,Books I Loved Best Yearly BILBY Awards for Older Readers 2009,West Australian Young Readers' Book Award WAYRBA for Older Readers 2008,Garden State Book Award for Fiction Grades 9-12 2008,South Carolina Book Award for Young Adult Book Award 2008,Grand Canyon Reader Award for Teen Book 2008,Maryland Black-Eyed Susan Book Award for High School 2008,Golden Sower Award for Young Adult 2009,Nevada Young Readers' Award for Young Adult Category  2007,The Flume: New Hampshire Teen Reader's Choice Award 2007,Pennsylvania Young Readers' Choice Award for Young Adult 2009,Rhode Island Teen Book Award 2007,Evergreen Teen Book Award 2008,Michigan Library Association Thumbs Up! Award Nominee 2006,Teen Read Award Nominee for Best All-Time-Fave 2010,Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury 2007,Iowa High School Book Award 2008,Eliot Rosewater Indiana High School Book Award 2008,Lincoln Award 2008,Literaturpreis der Jury der jungen Leser for Cover 2007,Prix Et-lisez-moi 2008,Missouri Gateway Readers Award 2008","Edward Cullen,Jacob Black,Laurent,Renee,Bella Swan,Billy Black,Esme Cullen,Alice Cullen,Jasper Hale,Carlisle Cullen,Emmett Cullen,Rosalie Hale,Charlie Swan,Mike Newton,Jessica Stanley,Angela Weber,Tyler Crowley","Forks, Washington,Phoenix, Arizona,Washington state",,9780316058988,English,,2005,544.0,5173079.0,106718.0,3.61,562807.0,560978.0,1052619.0,1164865.0,1831810.0
2656,2661,To Kill a Mockingbird,Harper Lee,To Kill a Mockingbird,"Lawyer Atticus Finch defends the real mockingbird of Harper Lee's classic, Puliter Prize-winning novel - a black man charged with the rape of a white woman. Through the eyes of Atticus's children, Scout and Jem Finch, Harper Lee explores with rich humor and unanswering honesty the irrationality of adult attitudes toward race and class in the Deep South of the 1930's.,Lawyer Atticus Finch defends the real mockingbird of Harper Lee's classic, Puliter Prize-winning novel - a black man charged with the rape of a white woman. Through the eyes of Atticus's children, Scout and Jem Finch, Harper Lee explores with rich humor and unanswering honesty the irrationality of adult attitudes toward race and class in the Deep South of the 1930's.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Classics,Fiction,Historical,Historical Fiction,Academic,School,Literature,Young Adult,Historical,Novels,Academic,Read For School,Young Adult,High School","Pulitzer Prize for Fiction 1961,Audie Award for Classic 2007,National Book Award Finalist for Fiction 1961,Alabama Author Award for Fiction 1961","Scout Finch,Atticus Finch,Jem Finch,Arthur Radley,Mayella Ewell,Aunt Alexandra,Bob Ewell,Calpurnia housekeeper,Tom Robinson,Miss Maudie Atkinson,Judge John Taylor,Dill Harris,Heck Tate,Stephanie Crawford","Maycomb, Alabama,Alabama",0061205699,9780061205699,English,July 11th 1960,October 17th 2006,323.0,4712812.0,94358.0,4.28,85019.0,156544.0,598802.0,1395089.0,2477358.0
2655,2660,To Kill a Mockingbird,Harper Lee,To Kill a Mockingbird,"Harper Lee's classic novel of a lawyer in the Deep South defending a black man charged with the rape of a white girl.,One of the best-loved stories of all time, To Kill a Mockingbird has earned many distinctions since its original publication in 1960. It won the Pulitzer Prize, has been translated into more than forty languages, sold more than thirty million copies worldwid,Harper Lee's classic novel of a lawyer in the Deep South defending a black man charged with the rape of a white girl.,One of the best-loved stories of all time, To Kill a Mockingbird has earned many distinctions since its original publication in 1960. It won the Pulitzer Prize, has been translated into more than forty languages, sold more than thirty million copies worldwide, and been made into an enormously popular movie. Most recently, librarians across the country gave the book the highest of honors by voting it the best novel of the twentieth century.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Classics,Fiction,Historical,Historical Fiction,Academic,School,Literature,Young Adult,Historical,Novels,Academic,Read For School,Young Adult,High School","Pulitzer Prize for Fiction 1961,Audie Award for Classic 2007,National Book Award Finalist for Fiction 1961,Alabama Author Award for Fiction 1961","Scout Finch,Atticus Finch,Jem Finch,Arthur Radley,Mayella Ewell,Aunt Alexandra,Bob Ewell,Calpurnia housekeeper,Tom Robinson,Miss Maudie Atkinson,Judge John Taylor,Dill Harris,Heck Tate,Stephanie Crawford","Maycomb, Alabama,Alabama",,9780445083769,English,July 11th 1960,January 1st 1962,284.0,4712812.0,94358.0,4.28,85019.0,156544.0,598802.0,1395089.0,2477358.0
2649,2654,To Kill a Mockingbird,Harper Lee,To Kill a Mockingbird,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.,Compassionate, dramatic, and deepl,The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.,Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Classics,Fiction,Historical,Historical Fiction,Academic,School,Literature,Young Adult,Historical,Novels,Academic,Read For School,Young Adult,High School","Pulitzer Prize for Fiction 1961,Audie Award for Classic 2007,National Book Award Finalist for Fiction 1961,Alabama Author Award for Fiction 1961","Scout Finch,Atticus Finch,Jem Finch,Arthur Radley,Mayella Ewell,Aunt Alexandra,Bob Ewell,Calpurnia housekeeper,Tom Robinson,Miss Maudie Atkinson,Judge John Taylor,Dill Harris,Heck Tate,Stephanie Crawford","Maycomb, Alabama,Alabama",,,English,July 11th 1960,July 5th 2005,323.0,4712812.0,94358.0,4.28,85019.0,156544.0,598802.0,1395089.0,2477358.0
2652,2657,To Kill a Mockingbird,Harper Lee,To Kill a Mockingbird,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. \To Kill A Mockingbird\ became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.,Compassionate, dramatic, and dee,The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. \To Kill A Mockingbird\ became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.,Compassionate, dramatic, and deeply moving, \To Kill A Mockingbird\ takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Classics,Fiction,Historical,Historical Fiction,Academic,School,Literature,Young Adult,Historical,Novels,Academic,Read For School,Young Adult,High School","Pulitzer Prize for Fiction 1961,Audie Award for Classic 2007,National Book Award Finalist for Fiction 1961,Alabama Author Award for Fiction 1961","Scout Finch,Atticus Finch,Jem Finch,Arthur Radley,Mayella Ewell,Aunt Alexandra,Bob Ewell,Calpurnia housekeeper,Tom Robinson,Miss Maudie Atkinson,Judge John Taylor,Dill Harris,Heck Tate,Stephanie Crawford","Maycomb, Alabama,Alabama",,,English,July 11th 1960,May 23rd 2006,324.0,4712800.0,94358.0,4.28,85019.0,156543.0,598799.0,1395089.0,2477350.0
2650,2655,To Kill a Mockingbird,"Harper Lee,Sissy Spacek",To Kill a Mockingbird,",,","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Classics,Fiction,Historical,Historical Fiction,Academic,School,Literature,Young Adult,Historical,Novels,Academic,Read For School,Young Adult,High School","Pulitzer Prize for Fiction 1961,Audie Award for Classic 2007,National Book Award Finalist for Fiction 1961,Alabama Author Award for Fiction 1961","Scout Finch,Atticus Finch,Jem Finch,Arthur Radley,Mayella Ewell,Aunt Alexandra,Bob Ewell,Calpurnia housekeeper,Tom Robinson,Miss Maudie Atkinson,Judge John Taylor,Dill Harris,Heck Tate,Stephanie Crawford","Maycomb, Alabama,Alabama",0060888695,9780060888695,English,July 11th 1960,August 22nd 2006,11.0,4712784.0,94358.0,4.28,85019.0,156542.0,598799.0,1395082.0,2477342.0
14317,14235,The Great Gatsby,F. Scott Fitzgerald,,"The Great Gatsby is regarded as The Great American Novel. An original edition recently came up for auction. The winning bid was One Hundred Fifty-Five Thousand Dollars, before the auction house premium was added. After the Auction House Premium of 22% was added, the total came to $189,100. Since I was present at the auction, I can tell you who submitted the winning bid of,The Great Gatsby is regarded as The Great American Novel. An original edition recently came up for auction. The winning bid was One Hundred Fifty-Five Thousand Dollars, before the auction house premium was added. After the Auction House Premium of 22% was added, the total came to $189,100. Since I was present at the auction, I can tell you who submitted the winning bid of $155,000. Indeed, the cover is the most famous part of the book. The cover of The Great Gatsby is among the most celebrated pieces of jacket art in American literature. Francis Cugat was commissioned to illustrate the book while Fitzgerald was in the midst of writing it. The cover was completed before the novel, with Fitzgerald so enamored of it that he told his publisher he had written it into the novel. Little is known of Francis Cugat other than that he was the older brother of famous Cuban bandleader Xavier Cugat. After several initial sketches of various completeness, Cugat produced a pair of eyes hovering over the bright lights of an amusement park. The woman has no nose but full and voluptuous lips. Descending from the right eye is a green tear. The irises depict a pair of reclining yellow nudes.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Classics,Fiction,Academic,School,Historical,Historical Fiction,Literature,Romance,Novels,Academic,Read For School,Young Adult,High School,Literature,American",Grammy Award Nominee for Best Spoken Word Album 2003,"Nick Carraway,Jay Gatsby,Daisy Buchanan,Tom Buchanan,Jordan Baker,Myrtle Wilson,Meyer Wolfsheim,George Wilson","New York City, New York,New York State,Long Island, New York",0891906797,9780891906797,English,April 10th 1925,September 1st 1925,182.0,3950093.0,70687.0,3.93,116470.0,261365.0,833346.0,1324940.0,1413972.0
9006,8906,The Great Gatsby,F. Scott Fitzgerald,,"In 1922, F. Scott Fitzgerald announced his decision to write \something,--something extraordinary and beautiful and simple + intricately patterned.\ That extraordinary, beautiful, intricately patterned, and above all, simple novel became,, arguably Fitzgerald's finest work and certainly the book for which he is best known. A portrait of the Jazz Age in a,In 1922, F. Scott Fitzgerald announced his decision to write \something,--something extraordinary and beautiful and simple + intricately patterned.\ That extraordinary, beautiful, intricately patterned, and above all, simple novel became,, arguably Fitzgerald's finest work and certainly the book for which he is best known. A portrait of the Jazz Age in all of its decadence and excess,,captured the spirit of the author's generation and earned itself a permanent place in American mythology. Self-made, self-invented millionaire Jay Gatsby embodies some of Fitzgerald's--and his country's--most abiding obsessions: money, ambition, greed, and the promise of new beginnings. \Gatsby believed in the green light, the orgiastic future that year by year recedes before us. It eluded us then, but that's no matter--tomorrow we will run faster, stretch out our arms farther.... And one fine morning--\ Gatsby's rise to glory and eventual fall from grace becomes a kind of cautionary tale about the American Dream.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Classics,Fiction,Academic,School,Historical,Historical Fiction,Literature,Romance,Novels,Academic,Read For School,Young Adult,High School,Literature,American",Grammy Award Nominee for Best Spoken Word Album 2003,"Nick Carraway,Jay Gatsby,Daisy Buchanan,Tom Buchanan,Jordan Baker,Myrtle Wilson,Meyer Wolfsheim,George Wilson","New York City, New York,New York State,Long Island, New York",0192832697,9780192832696,English,April 10th 1925,March 5th 1998,208.0,3948582.0,70641.0,3.93,116432.0,261292.0,833027.0,1324443.0,1413388.0
